step,training_loss,validation_loss,non_streaming_loss,total_flops_profiler,theoretical_flops,tokens
8100,5.6061,5.7673,5.7863,1.92e+15,2.00e+15,66355200
8150,5.6945,5.7560,5.7794,1.93e+15,2.01e+15,66764800
8200,5.6026,5.7538,5.7822,1.94e+15,2.02e+15,67174400
8250,5.6313,5.7534,5.7793,1.96e+15,2.04e+15,67584000
8300,5.6757,5.7302,5.7559,1.97e+15,2.05e+15,67993600
8350,5.7935,5.7520,5.7770,1.98e+15,2.06e+15,68403200
8400,5.5777,5.7413,5.7640,1.99e+15,2.07e+15,68812800
8450,5.6984,5.7351,5.7598,2.00e+15,2.09e+15,69222400
8500,5.7715,5.7260,5.7540,2.02e+15,2.10e+15,69632000
8550,5.7307,5.7528,5.7753,2.03e+15,2.11e+15,70041600
8600,5.7401,5.7237,5.7476,2.04e+15,2.12e+15,70451200
8650,5.6203,5.7272,5.7515,2.05e+15,2.14e+15,70860800
8700,5.6919,5.7343,5.7589,2.06e+15,2.15e+15,71270400
8750,5.5767,5.7405,5.7650,2.07e+15,2.16e+15,71680000
8800,5.6727,5.7195,5.7414,2.09e+15,2.17e+15,72089600
8850,5.7387,5.7388,5.7661,2.10e+15,2.19e+15,72499200
8900,5.6135,5.7191,5.7453,2.11e+15,2.20e+15,72908800
8950,5.6337,5.7216,5.7443,2.12e+15,2.21e+15,73318400
9000,5.8133,5.7085,5.7300,2.13e+15,2.22e+15,73728000
9050,5.6135,5.7311,5.7505,2.15e+15,2.23e+15,74137600
9100,5.7478,5.7108,5.7382,2.16e+15,2.25e+15,74547200
9150,5.6302,5.7326,5.7559,2.17e+15,2.26e+15,74956800
9200,5.7859,5.7077,5.7359,2.18e+15,2.27e+15,75366400
9250,5.7233,5.6975,5.7239,2.19e+15,2.28e+15,75776000
9300,5.6520,5.7027,5.7310,2.21e+15,2.30e+15,76185600
9350,5.7865,5.6992,5.7239,2.22e+15,2.31e+15,76595200
9400,5.6300,5.6864,5.7140,2.23e+15,2.32e+15,77004800
9450,5.6611,5.6876,5.7144,2.24e+15,2.33e+15,77414400
9500,5.6808,5.7490,5.7698,2.25e+15,2.35e+15,77824000
9550,5.6926,5.7513,5.7777,2.26e+15,2.36e+15,78233600
9600,5.7019,5.7667,5.7902,2.28e+15,2.37e+15,78643200
9650,5.7622,5.7557,5.7826,2.29e+15,2.38e+15,79052800
9700,5.7527,5.6945,5.7225,2.30e+15,2.40e+15,79462400
9750,5.6231,5.7071,5.7353,2.31e+15,2.41e+15,79872000
9800,5.6205,5.7038,5.7297,2.32e+15,2.42e+15,80281600
9850,5.7246,5.6930,5.7203,2.34e+15,2.43e+15,80691200
9900,5.6112,5.6718,5.6978,2.35e+15,2.44e+15,81100800
9950,5.7515,5.6771,5.7031,2.36e+15,2.46e+15,81510400
10000,5.6487,5.6578,5.6846,2.37e+15,2.47e+15,81920000
10050,5.6640,5.6574,5.6858,2.38e+15,2.48e+15,82329600
10100,5.7102,5.6770,5.7010,2.39e+15,2.49e+15,82739200
10150,5.7707,5.6730,5.7002,2.41e+15,2.51e+15,83148800
10200,5.8106,5.6877,5.7144,2.42e+15,2.52e+15,83558400
10250,5.6138,5.6615,5.6880,2.43e+15,2.53e+15,83968000
10300,5.6960,5.6527,5.6820,2.44e+15,2.54e+15,84377600
10350,5.5456,5.6587,5.6871,2.45e+15,2.56e+15,84787200
10400,5.5822,5.6648,5.6933,2.47e+15,2.57e+15,85196800
10450,5.5325,5.6436,5.6712,2.48e+15,2.58e+15,85606400
10500,5.4815,5.6433,5.6723,2.49e+15,2.59e+15,86016000
10550,5.8245,5.6415,5.6691,2.50e+15,2.61e+15,86425600
10600,5.7577,5.6426,5.6698,2.51e+15,2.62e+15,86835200
10650,5.6710,5.6343,5.6647,2.53e+15,2.63e+15,87244800
10700,5.6721,5.6396,5.6668,2.54e+15,2.64e+15,87654400
10750,5.7567,5.6277,5.6557,2.55e+15,2.65e+15,88064000
10800,5.4411,5.6272,5.6559,2.56e+15,2.67e+15,88473600
10850,5.6635,5.6246,5.6538,2.57e+15,2.68e+15,88883200
10900,5.5947,5.6177,5.6468,2.58e+15,2.69e+15,89292800
10950,5.6490,5.6236,5.6536,2.60e+15,2.70e+15,89702400
11000,5.5795,5.6365,5.6653,2.61e+15,2.72e+15,90112000
11050,5.5297,5.6230,5.6522,2.62e+15,2.73e+15,90521600
11100,5.7470,5.6177,5.6445,2.63e+15,2.74e+15,90931200
11150,5.4722,5.6245,5.6535,2.64e+15,2.75e+15,91340800
11200,5.5606,5.6239,5.6526,2.66e+15,2.77e+15,91750400
11250,5.6785,5.6184,5.6498,2.67e+15,2.78e+15,92160000
11300,5.6650,5.6241,5.6538,2.68e+15,2.79e+15,92569600
11350,5.6422,5.6169,5.6472,2.69e+15,2.80e+15,92979200
11400,5.5848,5.6256,5.6571,2.70e+15,2.82e+15,93388800
11450,5.7860,5.6332,5.6553,2.72e+15,2.83e+15,93798400
11500,5.6807,5.6111,5.6411,2.73e+15,2.84e+15,94208000
11550,5.6907,5.6076,5.6357,2.74e+15,2.85e+15,94617600
11600,5.7829,5.6312,5.6538,2.75e+15,2.86e+15,95027200
11650,5.6802,5.6211,5.6471,2.76e+15,2.88e+15,95436800
11700,5.6825,5.6284,5.6490,2.77e+15,2.89e+15,95846400
11750,5.5400,5.5977,5.6290,2.79e+15,2.90e+15,96256000
11800,5.6531,5.6034,5.6323,2.80e+15,2.91e+15,96665600
11850,5.5956,5.6005,5.6336,2.81e+15,2.93e+15,97075200
11900,5.5439,5.6032,5.6328,2.82e+15,2.94e+15,97484800
11950,5.6608,5.5946,5.6264,2.83e+15,2.95e+15,97894400
12000,5.5771,5.5992,5.6291,2.85e+15,2.96e+15,98304000
12050,5.5986,5.5905,5.6199,2.86e+15,2.98e+15,98713600
12100,5.7323,5.5880,5.6201,2.87e+15,2.99e+15,99123200
12150,5.5806,5.5901,5.6211,2.88e+15,3.00e+15,99532800
12200,5.6592,5.6053,5.6355,2.89e+15,3.01e+15,99942400
12250,5.6710,5.5912,5.6210,2.90e+15,3.02e+15,100352000
12300,5.7428,5.5845,5.6133,2.92e+15,3.04e+15,100761600
12350,5.5453,5.5860,5.6167,2.93e+15,3.05e+15,101171200
12400,5.6119,5.5854,5.6180,2.94e+15,3.06e+15,101580800
12450,5.7088,5.6104,5.6388,2.95e+15,3.07e+15,101990400
12500,5.7701,5.5896,5.6174,2.96e+15,3.09e+15,102400000
12550,5.7220,5.5794,5.6125,2.98e+15,3.10e+15,102809600
12600,5.6402,5.5799,5.6100,2.99e+15,3.11e+15,103219200
12650,5.6580,5.5743,5.6068,3.00e+15,3.12e+15,103628800
12700,5.5881,5.5705,5.6031,3.01e+15,3.14e+15,104038400
12750,5.6493,5.5677,5.6006,3.02e+15,3.15e+15,104448000
12800,5.6523,5.5731,5.6043,3.04e+15,3.16e+15,104857600
12850,5.6664,5.5695,5.6022,3.05e+15,3.17e+15,105267200
12900,5.6779,5.5763,5.6096,3.06e+15,3.19e+15,105676800
12950,5.5278,5.5790,5.6065,3.07e+15,3.20e+15,106086400
13000,5.6000,5.5781,5.6127,3.08e+15,3.21e+15,106496000
13050,5.6509,5.5789,5.6112,3.09e+15,3.22e+15,106905600
13100,5.6324,5.5791,5.6117,3.11e+15,3.23e+15,107315200
13150,5.5438,5.5738,5.6078,3.12e+15,3.25e+15,107724800
13200,5.5631,5.5710,5.6043,3.13e+15,3.26e+15,108134400
13250,5.6612,5.5697,5.6027,3.14e+15,3.27e+15,108544000
13300,5.6257,5.5690,5.5994,3.15e+15,3.28e+15,108953600
13350,5.6488,5.5646,5.5970,3.17e+15,3.30e+15,109363200
13400,5.6121,5.5644,5.5967,3.18e+15,3.31e+15,109772800
13450,5.6111,5.5637,5.5968,3.19e+15,3.32e+15,110182400
13500,5.6138,5.5634,5.5976,3.20e+15,3.33e+15,110592000
13550,5.5158,5.5599,5.5939,3.21e+15,3.35e+15,111001600
13600,5.6591,5.5594,5.5901,3.22e+15,3.36e+15,111411200
13650,5.6125,5.5597,5.5904,3.24e+15,3.37e+15,111820800
13700,5.6775,5.5603,5.5916,3.25e+15,3.38e+15,112230400
13750,5.4856,5.5592,5.5941,3.26e+15,3.40e+15,112640000
13800,5.6905,5.5577,5.5919,3.27e+15,3.41e+15,113049600
13850,5.6050,5.5588,5.5914,3.28e+15,3.42e+15,113459200
13900,5.5067,5.5541,5.5861,3.30e+15,3.43e+15,113868800
13950,5.6298,5.5519,5.5844,3.31e+15,3.44e+15,114278400
14000,5.5888,5.5536,5.5853,3.32e+15,3.46e+15,114688000
14050,5.5600,5.5485,5.5818,3.33e+15,3.47e+15,115097600
